NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM,start-time
Gowanus 3-4,24125,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-5,24126,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-6,24127,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-7,24128,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 3-8,24129,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-1,24130,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-2,24131,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-3,24132,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-4,24133,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-5,24134,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-6,24135,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 4-8,24137,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,20,0,0.333333333,3.333333333,10,20,13.315,0,0,0,0,0,0,0,1h
Gowanus 5,24156,J,Combustion Turbine,Natural Gas,40.663,-74,44,19,0.733333333,7.333333333,22,44,19.43907902,-402.2384956,0.899022881,0.256835944,2.167176568,-129.9783294,0.905089282,1,1h
Gowanus 6,24157,J,Combustion Turbine,Natural Gas,40.663,-74,43,6,0.716666667,7.166666667,21.5,43,14.39086765,-183.2564423,0.895851905,0.481229951,-12.23689748,90.58390323,0.961253432,1,1h
Greenidge 4,23583,C,Steam Turbine,Natural Gas,42.6789,-76.9483,113,36,1.883333333,18.83333333,56.5,113,10.4889317,25.59412471,0.904116112,0.050039358,3.468667045,225.0972314,0.908717676,1,1h
Greenport GT1,23814,K,Jet Engine,Fuel Oil 2,41.1056,-72.3767,60,21,1,10,30,60,18.92518338,-475.2285269,0.877749349,0.136380293,7.324920846,-238.6069732,0.880777382,1,1h
Harlem River 1,24160,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43,18,0.716666667,7.166666667,21.5,43,20.01931857,-418.5985581,0.886597244,0.511875917,-13.72213456,103.7413248,0.912401218,1,1h
Harlem River 2,24161,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43,17.5,0.716666667,7.166666667,21.5,43,20.24149178,-451.7400059,0.867786084,0.613814232,-21.02656243,201.8158263,0.906415647,1,1h
Hellgate 1,24158,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43,17,0.716666667,7.166666667,21.5,43,18.18145321,-356.6192964,0.90701578,0.574453045,-18.61533177,182.3667929,0.947821788,1,1h
Hellgate 2,24159,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43,16,0.716666667,7.166666667,21.5,43,19.62232226,-386.1554627,0.88602713,0.585495807,-17.75853521,163.1486631,0.929931219,1,1h
Hillburn GT,23639,G,Jet Engine,Natural Gas,41.1269,-74.1653,37,1,0.616666667,6.166666667,18.5,37,13.38443793,-3.146499496,0.806390838,0.53679922,-4.401107535,46.00703848,0.89707621,1,1h
Holtsville 01,23690,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17,1,0.283333333,2.833333333,8.5,17,17.20153243,2.20291602,0.99393536,-0.013600621,17.43009654,1.492136312,0.993820657,1,1h
Holtsville 02,23691,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17,1,0.283333333,2.833333333,8.5,17,17.19232247,2.318644808,0.993814301,-0.013478733,17.41890577,1.61338596,0.993694385,1,1h
Holtsville 03,23692,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.25,2.5,7.5,15,17.17066438,0.619308058,0.998735443,0.056589033,16.32136317,2.415805808,0.998825156,1,1h
Holtsville 04,23693,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.25,2.5,7.5,15,17.17066438,0.619308058,0.998735443,0.056589033,16.32136317,2.415805808,0.998825156,1,1h
Holtsville 05,23694,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.266666667,2.666666667,8,16,17.22468758,1.784415584,0.972452573,-0.043603652,17.89467089,-0.151133559,0.972168241,1,1h
Holtsville 06,23695,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.266666667,2.666666667,8,16,17.22468758,1.784415584,0.972452573,-0.043603652,17.89467089,-0.151133559,0.972168241,1,1h
Holtsville 07,23696,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.266666667,2.666666667,8,16,18.01080137,-1.117105092,0.975829726,0.113811427,16.24386485,2.700700992,0.976064106,1,1h
Holtsville 08,23697,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.266666667,2.666666667,8,16,18.01383567,-1.152371156,0.975317273,0.114688941,16.22597242,2.779752609,0.975553329,1,1h
Holtsville 09,23698,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.25,2.5,7.5,15,17.46895385,-0.244622569,0.9764113,0.021804775,17.17612128,0.272029866,0.975979657,1,1h
Holtsville 10,23699,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.25,2.5,7.5,15,17.46895385,-0.244622569,0.9764113,0.021804775,17.17612128,0.272029866,0.975979657,1,1h
Hudson Ave 3,23810,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0,0.271666667,2.716666667,8.15,16.3,13.315,0,0,0,0,0,0,0,1h
Hudson Ave 4,23540,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0,0.271666667,2.716666667,8.15,16.3,13.315,0,0,0,0,0,0,0,1h
Hudson Ave 5,23657,J,Combustion Turbine,Kerosene,40.7052,-73.9807,16.3,0,0.271666667,2.716666667,8.15,16.3,13.315,0,0,0,0,0,0,0,1h
Indeck-Corinth,23802,F,Combined Cycle,Natural Gas,43.25,-73.8125,140,123,2.333333333,23.33333333,70,140,4.765068833,437.4829212,0.658728667,-0.265213563,74.21237568,-4104.325232,0.683366719,1,1h
Indeck-Olean,23982,A,Combined Cycle,Natural Gas,42.0875,-78.4578,84,18,1.4,14,42,84,7.068328761,100.3663188,0.890333874,0.022246857,4.813342938,150.050029,0.893287833,1,1h
Indeck-Oswego,23783,C,Combined Cycle,Natural Gas,43.4682,-76.4965,61,7,1.016666667,10.16666667,30.5,61,6.951304655,86.77340065,0.909777907,0.066205081,2.575738388,137.904495,0.92396299,1,1h
Indeck-Silver Springs,23768,C,Combined Cycle,Natural Gas,42.6544,-78.0772,60,6,1,10,30,60,7.225022614,88.40689455,0.904639638,0.052109938,3.918514457,128.5602169,0.911688783,1,1h
Indeck-Yerkes,23781,A,Combined Cycle,Natural Gas,42.9671,-78.9182,57,4,0.95,9.5,28.5,57,7.471322085,81.90205038,0.961511801,0.037991439,5.223767764,104.0979492,0.964613361,1,1h
Independence,23970,C,Combined Cycle,Natural Gas,43.495,-76.4508,1218,103,20.3,203,609,1218,6.672255447,167.3533806,0.973590111,0.000652208,5.81334173,390.5014737,0.974242951,1,1h
Jamestown 5,1658,A,Steam Turbine,Natural Gas,42.0917,-79.2417,28.7,0,0.478333333,4.783333333,14.35,28.7,10.347,0,0,0,0,0,0,0,1h
Jamestown 6,1658,A,Steam Turbine,Natural Gas,42.0917,-79.2417,25,0,0.416666667,4.166666667,12.5,25,10.347,0,0,0,0,0,0,0,1h
Jamestown 7,1659,A,Combustion Turbine,Natural Gas,42.0917,-79.2417,46,32,0.766666667,7.666666667,23,46,6.083722762,180.4098053,0.265147651,0.586561021,-36.60766157,952.6309488,0.298310905,1,1h
Kent,24152,J,Combustion Turbine,Natural Gas,40.7168,-73.9665,49,8,0.816666667,8.166666667,24.5,49,13.6161056,-175.0052184,0.854081152,0.229956151,-0.674462895,-2.860626617,0.886643833,1,1h
KIAC_JFK_GT1,23816,J,Combined Cycle,Natural Gas,40.6417,-73.7778,65,17,1.083333333,10.83333333,32.5,65,7.90180717,87.49375213,0.972907628,-0.007507863,8.523468321,74.94687173,0.973062986,1,1h
KIAC_JFK_GT2,23817,J,Combined Cycle,Natural Gas,40.6417,-73.7778,71,4,1.183333333,11.83333333,35.5,71,7.487262603,94.37554812,0.986293021,-0.001455771,7.5747046,93.53050014,0.986301953,1,1h
Lockport,23791,A,Combined Cycle,Natural Gas,43.1622,-78.7453,153,28,2.55,25.5,76.5,153,12.83246405,-14.5128076,0.931274483,0.00592104,11.88674839,15.39975543,0.931404611,1,1h
Massena,23902,D,Combined Cycle,Natural Gas,44.9503,-74.8928,55,0,0.916666667,9.166666667,27.5,55,7.633,0,0,0,0,0,0,0,1h
Narrows 1-1,24228,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 1-2,24229,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 1-3,24230,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 1-4,24231,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 1-5,24232,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 1-6,24233,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 1-7,24234,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 1-8,24235,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 2-1,24236,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 2-2,24237,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 2-3,24238,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 2-4,24239,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 2-5,24240,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 2-6,24241,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 2-7,24242,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Narrows 2-8,24243,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666667,3.666666667,11,22,13.315,0,0,0,0,0,0,0,1h
Nassau Energy Corporation,323695,K,Combined Cycle,Natural Gas,40.7259,-73.5885,53,35,0.883333333,8.833333333,26.5,53,7.129090827,153.595876,0.943768817,0.05166316,2.811719292,242.8454864,0.944939602,1,1h
Northport 1,23551,K,Steam Turbine,Natural Gas,40.9231,-73.3417,410,108,6.833333333,68.33333333,205,410,9.339661857,163.9109087,0.995060512,-0.000102463,9.389173152,158.9848026,0.995057872,1,1h
Northport 2,23552,K,Steam Turbine,Natural Gas,40.9231,-73.3417,410,111,6.833333333,68.33333333,205,410,9.768931238,192.3135029,0.993315183,-0.002127191,10.81909745,84.6067308,0.993484254,1,1h
Northport 3,23553,K,Steam Turbine,Natural Gas,40.9231,-73.3417,411,109,6.85,68.5,205.5,411,9.345363809,170.0394838,0.996592078,0.001020592,8.845960258,220.457406,0.996635793,1,1h
Northport 4,23650,K,Steam Turbine,Natural Gas,40.9231,-73.3417,413,109,6.883333333,68.83333333,206.5,413,9.345729321,200.9429659,0.990051783,-0.000199239,9.444587014,190.6135503,0.990050132,1,1h
Northport GT,23718,K,Combustion Turbine,Fuel Oil 2,40.9231,-73.3417,16,0,0.266666667,2.666666667,8,16,13.315,0,0,0,0,0,0,0,1h
Oswego 5,23606,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,866,39.15,14.43333333,144.3333333,433,866,8.922199923,684.6984171,0.986416413,0.002014328,7.018628701,950.4173708,0.98780741,1,1h
Oswego 6,23613,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,862,25.45,14.36666667,143.6666667,431,862,8.982900273,568.7150841,0.997444336,0.000193177,8.799033963,595.8131559,0.997409501,1,1h
Pilgrim GT1,24216,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,47,13.7,0.783333333,7.833333333,23.5,47,19.87126551,-439.8147529,0.82637873,0.214686347,4.946571215,-192.9020124,0.831866669,1,1h
Pilgrim GT2,24217,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,48,5.15,0.8,8,24,48,18.92276553,-389.6596572,0.870964479,0.344756643,-4.233914265,-31.23551645,0.89478544,1,1h
Pinelawn Power 1,323563,K,Combined Cycle,Natural Gas,40.7358,-73.3881,81,14.5,1.35,13.5,40.5,81,8.826779475,-46.13458579,0.904801903,-0.043134769,13.16055586,-149.1373146,0.914586163,1,1h
Port Jefferson 3,23555,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,201,45,3.35,33.5,100.5,201,9.635896124,61.42450619,0.872331898,0.028674922,3.068509921,347.5110455,0.881297078,1,1h
Port Jefferson 4,23616,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,204,45,3.4,34,102,204,9.7231988,147.8617538,0.992131324,0.001978479,9.280801283,165.6106775,0.992166134,1,1h
Port Jefferson GT 02,24210,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,48,10,0.8,8,24,48,12.94196037,-135.2945106,0.959672884,0.003302302,12.74097538,-132.8028817,0.959614676,1,1h
Port Jefferson GT 03,24211,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,49,11,0.816666667,8.166666667,24.5,49,12.23597388,-132.8299653,0.925588697,-0.020532988,13.48983837,-148.7585199,0.925628139,1,1h
Pouch,24155,J,Combustion Turbine,Natural Gas,40.6188,-74.069,48,4,0.8,8,24,48,12.25555379,-107.8317001,0.880148941,0.314298401,-5.294454728,36.90924018,0.930601028,1,1h
Ravenswood 01,23729,J,Combustion Turbine,Natural Gas,40.7585,-73.9451,18.6,0,0.31,3.1,9.3,18.6,11.098,0,0,0,0,0,0,0,1h
Ravenswood 10,24258,J,Jet Engine,Kerosene,40.7585,-73.9451,25,0,0.416666667,4.166666667,12.5,25,13.315,0,0,0,0,0,0,0,1h
Ravenswood 11,24259,J,Jet Engine,Kerosene,40.7585,-73.9451,25,0,0.416666667,4.166666667,12.5,25,13.315,0,0,0,0,0,0,0,1h
Ravenswood CC 04,23820,J,Combined Cycle,Natural Gas,40.7585,-73.9451,286,142,4.766666667,47.66666667,143,286,5.762263088,346.4073173,0.920387672,0.015335827,-0.975215494,1064.999305,0.928579242,1,1h
Ravenswood ST 01,23533,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,380,1,6.333333333,63.33333333,190,380,8.904337179,239.1727508,0.990378961,0.002067614,8.13620343,286.3132715,0.990771695,1,1h
Ravenswood ST 02,23534,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,1000,3,16.66666667,166.6666667,500,1000,9.146790025,546.8851162,0.991790854,-0.001208377,10.15813952,438.252621,0.993388574,1,1h
Ravenswood ST 03,23535,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,392,1,6.533333333,65.33333333,196,392,8.89160226,234.1603978,0.993913599,0.00278224,7.813159029,307.2256501,0.994536822,1,1h
Rensselaer,23796,F,Combined Cycle,Natural Gas,42.63,-73.75,84,12,1.4,14,42,84,7.069657377,123.0575687,0.879511465,0.050369797,1.627019922,234.1131904,0.894586195,1,1h
Roseton 1,23587,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,622,30.3,10.36666667,103.6666667,311,622,9.079935032,323.3793285,0.993611531,0.001060498,8.320607199,422.4473888,0.993874137,1,1h
Roseton 2,23588,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,635,30.8,10.58333333,105.8333333,317.5,635,8.443248737,443.0473987,0.9447014,0.001532923,7.450267733,568.7703972,0.945619557,1,1h
S Hampton 1,23720,K,Combustion Turbine,Fuel Oil 2,40.899997,-72.381977,11.5,0,0.191666667,1.916666667,5.75,11.5,13.315,0,0,0,0,0,0,0,1h
Saranac Energy,23793,D,Combined Cycle,Natural Gas,44.7132,-73.4557,268,20,4.466666667,44.66666667,134,268,7.954201193,108.3920987,0.95892353,0.005945642,6.438131253,193.3572738,0.961805112,1,1h
Selkirk-I,23801,F,Combined Cycle,Natural Gas,42.5744,-73.8592,143,0,2.383333333,23.83333333,71.5,143,7.633,0,0,0,0,0,0,0,1h
Selkirk-II,23799,F,Combined Cycle,Natural Gas,42.5744,-73.8592,304,54.6,5.066666667,50.66666667,152,304,7.643746411,121.2104814,0.980876831,0.000448981,7.491933077,132.5047924,0.980855836,1,1h
Shoemaker GT,23640,G,Jet Engine,Natural Gas,41.4278,-74.4186,37,0,0.616666667,6.166666667,18.5,37,11.098,0,0,0,0,0,0,0,1h
Shoreham 1,23715,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,52.9,0,0.881666667,8.816666667,26.45,52.9,13.315,0,0,0,0,0,0,0,1h
Shoreham 2,23716,K,Jet Engine,Fuel Oil 2,40.9572,-72.8664,18.6,0,0.31,3.1,9.3,18.6,13.315,0,0,0,0,0,0,0,1h
Shoreham GT3,24213,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,47,0,0.783333333,7.833333333,23.5,47,13.315,0,0,0,0,0,0,0,1h
Shoreham GT4,24214,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,49,0,0.816666667,8.166666667,24.5,49,13.315,0,0,0,0,0,0,0,over
Somerset,23543,A,Steam Turbine,Coal,43.3561,-78.6039,731,80.4,5.391666667,53.91666667,161.75,323.5,7.540292686,625.0545977,0.993683759,0.002011504,5.841928712,889.0034119,0.994794515,1,over
South Cairo,23612,G,Combustion Turbine,Kerosene,42.291275,-73.986452,21.6,0,0.36,3.6,10.8,21.6,13.315,0,0,0,0,0,0,0,over
Southold 1,23719,K,Combustion Turbine,Fuel Oil 2,41.1059,-72.3761,14,0,0.233333333,2.333333333,7,14,13.315,0,0,0,0,0,0,0,over
St. Elizabeth Medical Center,23633,E,Internal Combustion,Natural Gas,43.082104,-75.2661,0.6,0,0.01,0.1,0.3,0.6,8.899,0,0,0,0,0,0,0,over
Sterling,23777,E,Combined Cycle,Natural Gas,43.0803,-75.6003,43,15,0.375,3.75,11.25,22.5,9.487922941,67.66680304,0.927589605,-0.065664491,13.41946295,12.49370194,0.931485913,1,over
Stony Brook   (BTM:NG),24151,K,Combustion Turbine,Natural Gas,40.9168,-73.1292,46,30,0.408333333,4.083333333,12.25,24.5,9.073059064,75.17557307,0.505807403,-0.017751252,10.42080871,49.81021301,0.505769655,1,over
Syracuse,23985,C,Combined Cycle,Natural Gas,43.0667,-76.2246,102,14,0.683333333,6.833333333,20.5,41,6.023530873,120.8979995,0.92762095,0.045735597,0.379882678,279.5583001,0.961212056,1,over
Vernon Blvd 2,24162,J,Combustion Turbine,Natural Gas,40.7539,-73.9506,43,18.5,0.533333333,5.333333333,16,32,19.60238403,-407.0596075,0.838109034,0.14644434,9.927140888,-254.1738566,0.839825674,1,over
Vernon Blvd 3,24163,J,Combustion Turbine,Natural Gas,40.7539,-73.9506,42,15,0.558333333,5.583333333,16.75,33.5,17.27289742,-319.5727362,0.893510483,0.524042816,-14.97919783,132.2388543,0.9358018,1,over
Wading River 1,23522,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,102,9,1.258333333,12.58333333,37.75,75.5,12.77932968,-5.232355019,0.960068573,-0.051614756,18.02630112,-96.22563919,0.967170164,1,over
Wading River 2,23547,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,94,7.8,1.35,13.5,40.5,81,13.38110302,-32.77826716,0.981323151,-0.027035002,15.95735073,-73.20675158,0.982888703,1,over
Wading River 3,23601,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,94,4,1.333333333,13.33333333,40,80,12.15408291,-11.60104191,0.822005195,-0.022268834,14.19078865,-39.2502934,0.821056656,1,over
West Babylon 4,23714,K,Combustion Turbine,Fuel Oil 2,40.6953,-73.3497,65,3,0.808333333,8.083333333,24.25,48.5,13.32991978,15.83107639,0.989745265,-0.060121721,17.05556001,-25.89284716,0.993618784,1,over
